12,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,15,1,,,Increase,Yes,,,,,,,,,,,,,,,,Other,"$1,000,000 to $4,999,999",85,15,,,No,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,EU,Singapore,Malaysia,China,Developing new products and services,5,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Major Barrier,Major Barrier,Enabler,Enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
13,Internet and web design consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,25,4,,1,Increase,Yes,,,,Developer programmers,,,,,,,,,,,,,"$1,000,000 to $4,999,999",75,24,,1,Yes,Yes,Increase,Increase,Irregularly,,,,,Internet and web design,,,,,,Other,South East Asia,,,,,,,North America,,,Oceania and Pacific Islands,,Papua New Guinea,Solomon Islands,USA,,,Dubai,North America,,,,Implementing new or significantly improved operational processes,2,Enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Enabler,Enabler,Enabler,Enabler,Enabler,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
14,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Regional Victoria,5 to 9 years,2,6,2,1,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$200,000 to $499,999",65,30,,5,Yes,Yes,Increase,Stay the same,Irregularly,,,,,,,,,,,Other,,East Asia,,,,,,,Central America and Caribbean,,,,,,,,,China,USA,,,,Implementing new or significantly improved organisational processes/structures,0,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler
15,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,1,5,,,Increase,Yes,,,,Developer programmers,,,,,,,,,,,,,"$0 to $199,999",100,,,,No,Yes,Increase,Increase,Regularly,,,,,,,,,,,Other,,,,,,,,North America,,,,,,,,,,USA,UK,Canada,India,,Implementing new or significantly improved marketing methods,50,Neither a barrier nor an enabler,Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler
16,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,38,2,,,Increase,No,,,,,,,,"Software engineers, testers and app programmers",,,,,,,,,"$5,000,000 to $9,999,999",5,70,,25,Yes,No,Increase,Decrease,Regularly,,,Computer software,,,,,,,,Other,,,,,,,,North America,,,,,USA,,,,,USA,India,EU,,,Developing new products and services,25,Major Barrier,Major Barrier,Major Barrier,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Major Barrier,Barrier,Neither a barrier nor an enabler,Barrier
17,Computer hardware maintenance and consulting,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,6,,,,Increase,Yes,,,,,,,ICT network and support professionals (e.g. computer network and systems engineers),,,,,,,,,,"$1,000,000 to $4,999,999",60,40,,,Yes,No,Increase,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Implementing new or significantly improved marketing methods,4,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier
19,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,1,1,,,Increase,Yes,,,,,,,,,,,,,,,,,"$500,000 to $999,999",60,35,,5,Yes,Yes,Increase,Increase,Regularly,,,Computer software,Computer services,,,,,,,,,,,,,,,North America,,,,,USA,,,,,USA,New Zealand,,,,Implementing new or significantly improved operational processes,30,Enabler,Neither a barrier nor an enabler,Enabler,Barrier,Barrier,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Barrier,Enabler,Not Applicable,Neither a barrier nor an enabler,Neither a barrier nor an enabler
20,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Regional Victoria,10 to 19 years,4,1,,,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,,,,,,Research and development,,,,"$500,000 to $999,999",15,2,,83,Yes,No,Increase,Stay the same,Regularly,,,Computer software,,,,,,,,,,,,,,Western Europe,,,,,,,Switzerland,Germany,France,,,Switzerland,Germany,Austria,France,,Developing new products and services,10,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Not Applicable,Neither a barrier nor an enabler,Enabler,Major Barrier,,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Not Applicable,Barrier,Major Barrier,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler
21,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,5,1,,,Increase,No,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,"Software engineers, testers and app programmers",,,,,Research and development,,,,"$200,000 to $499,999",90,10,,,Yes,Yes,Increase,Increase,Irregularly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,,,,,Developing new products and services,20,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
23,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,3,6,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$500,000 to $999,999",100,,,,Yes,Yes,Increase,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,50,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier,Barrier
24,Computer software publishing,Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,3,,,,Stay the same,Yes,,,,Developer programmers,,,,,,,ICT sales,,,,,,"$500,000 to $999,999",,50,,50,Yes,Yes,Decrease,Increase,Regularly,,,Computer software,,,,,Hardware and software maintenance,Telecommunications services,,,South East Asia,,South Asia,,,Western Europe,,North America,,,,,USA,UK,India,Vietnam,Austria,USA,India,UK,Austria,Brazil,Customising/modifying existing products and services,75,Enabler,Enabler,Major Enabler,Barrier,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Major Enabler,Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier
25,Internet publishing,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,1,1,,,Stay the same,Yes,,,"ICT business analysts, systems analysts and programmers",Developer programmers,,,,,,,,,Research and development,,,,"$0 to $199,999",85,15,,,No,No,Increase,Stay the same,Irregularly,,,,,Internet and web design,Internet publishing and broadcasting,,,,,,,,,,,Western Europe,,North America,,,,,UK,USA,New Zealand,,,USA,UK,South Korea,Germany,New Zealand,Other,8,Enabler,Major Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler
26,Systems analysis and computer programming,Privately owned (100% Australian),Interstate,5 to 9 years,,,2,5,Increase,Yes,,,"ICT business analysts, systems analysts and programmers",,,,,"Software engineers, testers and app programmers",,,ICT sales,,,,,,"$200,000 to $499,999",15,40,45,,Yes,No,Increase,Decrease,Regularly,,"Other ICT and telecommunications equipment, parts and components",Computer software,,,,,,,,,South East Asia,,,,,,,,,,Oceania and Pacific Islands,,Malaysia,Fiji,,,,,,,,,Other,0,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Barrier,Major Barrier,Major Barrier,Major Barrier,Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Major Barrier,Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
27,Computer hardware maintenance and consulting,Privately owned (100% Australian),Regional Victoria,20 or more years,1,,,,Stay the same,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",100,,,,No,No,Increase,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company not involved in innovation,0,Major Barrier,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Barrier,Enabler,Enabler,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Barrier,Enabler,Major Barrier,Not Applicable,Not Applicable
28,Computer software consulting,Privately owned (100% Australian),Regional Victoria,5 to 9 years,2,,,,Stay the same,Yes,,,,,,,,,,,,,,,,,"$200,000 to $499,999",40,59,,1,Yes,No,Decrease,Stay the same,Irregularly,,,Computer software,,,,,,,,,South East Asia,,,,,,,,,,,,New Zealand,Singapore,,,,,,,,,Company not involved in innovation,0,Major Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Major Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
29,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (up to 49% foreign owned),Metropolitan Melbourne,5 to 9 years,12,3,,1,Increase,Yes,,ICT professionals,"ICT business analysts, systems analysts and programmers",,Database and systems administrators,,ICT network and support professionals (e.g. computer network and systems engineers),,,,ICT sales,,,,,,"$1,000,000 to $4,999,999",50,40,,10,No,No,Increase,Increase,Irregularly,,,Computer software,Computer services,,,,,,,,,,,,,,,North America,,,,,USA,,,,,USA,UK,Canada,Thailand,,Developing new products and services,20,Barrier,Barrier,Barrier,Major Barrier,Barrier,Major Enabler,Neither a barrier nor an enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Barrier,Barrier
30,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,2 to 4 years,1,3,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",100,,,,No,Yes,Increase,Increase,Regularly,,,Computer software,,,,,,,,,South East Asia,,,,Eastern Europe and Russia,Western Europe,,North America,,,,,USA,UK,Canada,Japan,Russia,USA,UK,Canada,China,Japan,Developing new products and services,20,Major Enabler,Major Enabler,Major Enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Major Enabler,Neither a barrier nor an enabler,Major Barrier,Major Enabler,Enabler
31,"Internet and data services (incl. data centre hosting, cloud services)",Privately owned (100% Australian),Regional Victoria,5 to 9 years,4,,5,,Increase,Yes,,,,,,,,,,,,,,,,,"$1,000,000 to $4,999,999",80,20,,,Yes,Yes,Increase,Increase,Irregularly,,,,,,,,,,,Other,South East Asia,,,Middle East,,,,,,,Oceania and Pacific Islands,,Hong Kong,Singapore,,,,China,Taiwan,South Korea,,,Customising/modifying existing products and services,3,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Major Enabler,Neither a barrier nor an enabler,Major Enabler,,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
32,Manufacturing – ICT equipment,Privately owned (50-100% foreign owned),Metropolitan Melbourne,10 to 19 years,3,2,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$500,000 to $999,999",41,,,59,No,No,Increase,Increase,Regularly,,"Other ICT and telecommunications equipment, parts and components",,,,,,,,,,,,,,,Western Europe,,,,,,,France,UK,New Zealand,South Africa,USA,UK,Germany,France,New Zealand,South Africa,Developing new products and services,8,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Barrier,Enabler,Enabler,Enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Barrier
34,"Internet and data services (incl. data centre hosting, cloud services)",Privately owned (100% Australian),Metropolitan Melbourne,5 to 9 years,3,,,,Stay the same,Yes,,,,,,,,,,,,,,,,,"$500,000 to $999,999",100,,,,Yes,Yes,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,10,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Barrier,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler
35,Telecommunications services,Privately owned (100% Australian),Regional Victoria,20 or more years,2,,,,Stay the same,No,,,,,,,,,,"Trades workers – Electrotechnology, electronics and  telecommunications",,,,,,,"$1,000,000 to $4,999,999",70,30,,,Yes,Yes,Stay the same,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,0,Barrier,Barrier,Major Barrier,Enabler,Not Applicable,Not Applicable,Major Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Major Barrier,Major Barrier,Enabler,Not Applicable,Not Applicable,Not Applicable
36,Systems analysis and computer programming,Privately owned (100% Australian),Interstate,5 to 9 years,6,10,60,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"More than $10,000,000",20,80,,,Yes,No,Stay the same,Stay the same,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Company not involved in innovation,1,Major Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Major Barrier,Major Barrier,Barrier,Neither a barrier nor an enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
37,Systems analysis and computer programming,Privately owned (100% Australian),Regional Victoria,5 to 9 years,1,4,,,Increase,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",100,,,,No,Yes,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Canada,UK,New Zealand,,Developing new products and services,10,Major Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Barrier,Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Enabler,Not Applicable
38,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,4,5,,,Increase,Yes,,,,,,,,,,,,,,,,Other,"$500,000 to $999,999",40,20,,40,Yes,Yes,Stay the same,Stay the same,Irregularly,,,,,,,,,,,Other,,,,Middle East,,,,North America,,,,,New Zealand,Canada,USA,Turkey,India,New Zealand,USA,Canada,Turkey,France,Developing new products and services,10,Major Barrier,Major Barrier,,Major Barrier,Major Barrier,Major Enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Neither a barrier nor an enabler,Major Barrier,Major Barrier,Major Barrier,Barrier,Barrier,Barrier,Barrier,Barrier
39,Computer software consulting,Privately owned (100% Australian),Metropolitan Melbourne,10 to 19 years,2,3,,1,Stay the same,No,,,,,,ICT security specialists,,,,,,ICT trainers,,,,,"$200,000 to $499,999",100,,,,Yes,No,Stay the same,Stay the same,Irregularly,,,,Computer services,,,,,,,,,,,,,,,North America,,,,,USA,,,,,USA,,,,,Customising/modifying existing products and services,10,Barrier,Barrier,Barrier,Barrier,Barrier,Enabler,Neither a barrier nor an enabler,Enabler,Enabler,Enabler,Enabler,Major Enabler,Major Enabler,Barrier,Enabler,Major Barrier,Neither a barrier nor an enabler,Neither a barrier nor an enabler
40,"Software development and installation (incl. game, app and e-learning resource development)",Privately owned (100% Australian),Metropolitan Melbourne,Less than 2 years,1,1,,,Decrease,Yes,,,,,,,,,,,,,,,Company not currently experiencing skills as being in short supply,,"$0 to $199,999",,,,,No,No,Decrease,Decrease,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Developing new products and services,100,Barrier,Major Barrier,Enabler,Major Barrier,Major Barrier,Major Barrier,Enabler,Enabler,Enabler,Major Barrier,Barrier,Major Barrier,Major Barrier,Barrier,Barrier,Barrier,Barrier,Barrier
41,Manufacturing – ICT equipment,Privately owned (100% Australian),Metropolitan Melbourne,20 or more years,,10,,,Increase,Yes,,,,,,,,,,,,,,,,,"$0 to $199,999",,100,,,No,No,Increase,Increase,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,UK,EU,India,Asia,Developing new products and services,50,Major Barrier,,,Major Barrier,Major Barrier,Major Barrier,Neither a barrier nor an enabler,,,Barrier,Major Enabler,Neither a barrier nor an enabler,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
